순위,관광지ID,관심지점명,구분,연령대,비율
1,d68c2c6af7cf6cb1092154f35a52c1c7,해동용궁사,종교,50,17.0
2,664bcb8aaae12fcedf6b388e569532d8,벡스코제1전시장,문화생활시설,50,11.9
3,bf44234f9b63729e0fe62962a5188523,송정해수욕장,관광명소,50,11.8
4,5d6df14111efdde523323f1e8815ea68,신선대부두,교통시설,50,11.5
5,88222e7e5f8172698373086e65c1fad1,해운대해수욕장,관광명소,50,10.9
6,c63b5b337225ae746ba52eb7f398aac1,광안리해수욕장,관광명소,50,9.7
7,f4b4f749a6cdfd734d4512c18b227d6a,태종대,관광명소,50,7.9
8,80b68dec7a324fdf7d4bc5a5ef023994,다대포해수욕장,관광명소,50,7.3
9,4f0130868fe171b5c2bf66d416a06ce2,범어사,종교,50,6.2
10,a2ffe8b868271413da7ed51cc20f9181,사직야구장,레저/스포츠,50,6.0
